id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
287,0.04,0.2,0.2,20,2000,10,200,66.66666667,3.4234,0.01316,40.0,0.502654825,79.57747155,400,0.136936
176,0.04,0.1,0.2,20,2000,10,200,66.66666667,4.6347,0.01816,40.0,0.502654825,79.57747155,400,0.185388
63,0.04,0.0,0.2,10,2000,10,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,100,0.12051600000000001
180,0.08,0.1,0.5,20,2000,10,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,400,0.148544
285,0.04,0.2,0.2,10,2000,10,200,66.66666667,1.3017,0.00818,10.0,0.502654825,19.89436789,100,0.052068
326,0.04,0.2,0.5,15,5000,10,500,166.66666669999998,3.825,0.01888,56.25,0.502654825,111.90581940000001,225,0.153
325,0.04,0.2,0.5,10,5000,10,500,166.66666669999998,2.0652,0.0144,25.0,0.502654825,49.73591972,100,0.082608
106,0.08,0.0,0.5,20,5000,10,500,166.66666669999998,3.0927,0.02646,100.0,4.021238597,24.86795986,400,0.247416
72,0.04,0.0,0.5,10,5000,25,200,66.66666667,3.0183,0.02182,25.0,1.256637061,19.89436789,100,0.120732
217,0.08,0.1,0.5,20,5000,10,500,166.66666669999998,1.6823,0.012459999999999999,100.0,4.021238597,24.86795986,400,0.134584
209,0.04,0.1,0.1,15,5000,10,500,166.66666669999998,1.5769,0.00732,11.25,0.502654825,22.38116387,225,0.063076
326,0.04,0.2,0.5,15,5000,10,500,166.66666669999998,3.825,0.01888,56.25,0.502654825,111.90581940000001,225,0.153
328,0.08,0.2,0.5,20,5000,10,500,166.66666669999998,1.3295,0.00894,100.0,4.021238597,24.86795986,400,0.10636
217,0.08,0.1,0.5,20,5000,10,500,166.66666669999998,1.6823,0.012459999999999999,100.0,4.021238597,24.86795986,400,0.134584
183,0.04,0.1,0.5,10,5000,25,200,66.66666667,1.6368,0.01078,25.0,1.256637061,19.89436789,100,0.065472
73,0.04,0.0,0.5,15,5000,25,200,66.66666667,5.7926,0.028839999999999998,56.25,1.256637061,44.76232774,225,0.23170400000000002
219,0.04,0.1,0.2,20,12500,25,500,166.66666669999998,2.0021,0.00702,40.0,1.256637061,31.83098862,400,0.080084
329,0.04,0.2,0.2,15,12500,25,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
332,0.04,0.2,0.5,15,12500,25,500,166.66666669999998,1.9199,0.008879999999999999,56.25,1.256637061,44.76232774,225,0.076796
219,0.04,0.1,0.2,20,12500,25,500,166.66666669999998,2.0021,0.00702,40.0,1.256637061,31.83098862,400,0.080084
218,0.04,0.1,0.2,15,12500,25,500,166.66666669999998,1.3959,0.0058200000000000005,22.5,1.256637061,17.904931100000002,225,0.055836
219,0.04,0.1,0.2,20,12500,25,500,166.66666669999998,2.0021,0.00702,40.0,1.256637061,31.83098862,400,0.080084
329,0.04,0.2,0.2,15,12500,25,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
329,0.04,0.2,0.2,15,12500,25,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
333,0.04,0.2,0.5,20,12500,25,500,166.66666669999998,2.915,0.01052,100.0,1.256637061,79.57747155,400,0.11660000000000001
332,0.04,0.2,0.5,15,12500,25,500,166.66666669999998,1.9199,0.008879999999999999,56.25,1.256637061,44.76232774,225,0.076796
331,0.04,0.2,0.5,10,12500,25,500,166.66666669999998,1.2246,0.00746,25.0,1.256637061,19.89436789,100,0.048984
303,0.08,0.2,0.1,20,500,1,500,166.66666669999998,1.8651,0.02164,20.0,0.40212386,49.73591972,400,0.149208
159,0.08,0.1,0.5,10,200,1,200,66.66666667,3.5581,0.0633,25.0,0.40212386,62.16989965,100,0.284648
