,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
24,64,0.04,0.0,0.2,15,7.600902459542082,2.302585092994046,200,66.66666667,5.5938,0.029480000000000003,22.5,0.502654825,44.76232774,225,0.223752
101,180,0.08,0.1,0.5,20,7.600902459542082,2.302585092994046,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,400,0.148544
101,180,0.08,0.1,0.5,20,7.600902459542082,2.302585092994046,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,400,0.148544
22,62,0.04,0.0,0.1,20,7.600902459542082,2.302585092994046,200,66.66666667,4.6208,0.01986,20.0,0.502654825,39.78873577,400,0.184832
124,210,0.04,0.1,0.1,20,8.517193191416238,2.302585092994046,500,166.66666669999998,2.3365,0.00894,20.0,0.502654825,39.78873577,400,0.09346
40,101,0.04,0.0,0.2,15,8.517193191416238,2.302585092994046,500,166.66666669999998,5.1139,0.026619999999999998,22.5,0.502654825,44.76232774,225,0.20455600000000002
123,209,0.04,0.1,0.1,15,8.517193191416238,2.302585092994046,500,166.66666669999998,1.5769,0.00732,11.25,0.502654825,22.38116387,225,0.063076
125,211,0.04,0.1,0.2,10,8.517193191416238,2.302585092994046,500,166.66666669999998,1.4897,0.009640000000000001,10.0,0.502654825,19.89436789,100,0.059588
124,210,0.04,0.1,0.1,20,8.517193191416238,2.302585092994046,500,166.66666669999998,2.3365,0.00894,20.0,0.502654825,39.78873577,400,0.09346
102,181,0.04,0.1,0.2,15,8.517193191416238,3.2188758248682006,200,66.66666667,1.5155,0.006640000000000001,22.5,1.256637061,17.904931100000002,225,0.06062000000000001
216,327,0.04,0.2,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,6.2259,0.0237,100.0,0.502654825,198.9436789,400,0.249036
42,104,0.04,0.0,0.5,15,8.517193191416238,2.302585092994046,500,166.66666669999998,11.3757,0.05942000000000001,56.25,0.502654825,111.90581940000001,225,0.455028
189,292,0.04,0.2,0.2,15,8.517193191416238,3.2188758248682006,200,66.66666667,1.2448,0.0052,22.5,1.256637061,17.904931100000002,225,0.049791999999999996
216,327,0.04,0.2,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,6.2259,0.0237,100.0,0.502654825,198.9436789,400,0.249036
216,327,0.04,0.2,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,6.2259,0.0237,100.0,0.502654825,198.9436789,400,0.249036
46,109,0.04,0.0,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
218,329,0.04,0.2,0.2,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
222,333,0.04,0.2,0.5,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.915,0.01052,100.0,1.256637061,79.57747155,400,0.11660000000000001
133,219,0.04,0.1,0.2,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.0021,0.00702,40.0,1.256637061,31.83098862,400,0.080084
219,330,0.04,0.2,0.2,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5167,0.00496,40.0,1.256637061,31.83098862,400,0.060668
218,329,0.04,0.2,0.2,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
134,220,0.04,0.1,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5043,0.00948,25.0,1.256637061,19.89436789,100,0.060172
134,220,0.04,0.1,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5043,0.00948,25.0,1.256637061,19.89436789,100,0.060172
221,332,0.04,0.2,0.5,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.9199,0.008879999999999999,56.25,1.256637061,44.76232774,225,0.076796
44,107,0.04,0.0,0.2,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.5269,0.01256,22.5,1.256637061,17.904931100000002,225,0.101076
222,333,0.04,0.2,0.5,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.915,0.01052,100.0,1.256637061,79.57747155,400,0.11660000000000001
80,152,0.04,0.1,0.2,10,5.298317366548036,0.0,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
107,188,0.04,0.1,0.2,5,6.214608098422191,0.0,500,166.66666669999998,2.9625,0.04384,2.5,0.050265482,49.73591972,25,0.1185
200,303,0.08,0.2,0.1,20,6.214608098422191,0.0,500,166.66666669999998,1.8651,0.02164,20.0,0.40212386,49.73591972,400,0.149208
16,40,0.04,0.0,0.2,5,5.298317366548036,0.0,200,66.66666667,7.0081,0.11218,2.5,0.050265482,49.73591972,25,0.280324
80,152,0.04,0.1,0.2,10,5.298317366548036,0.0,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
77,149,0.04,0.1,0.1,5,5.298317366548036,0.0,200,66.66666667,1.9135,0.02758,1.25,0.050265482,24.86795986,25,0.07654
163,261,0.04,0.2,0.1,10,5.298317366548036,0.0,200,66.66666667,4.0073,0.03418,5.0,0.050265482,99.47183943,100,0.160292
