m,v,d,tt,tp,ike,cu,e,lambda,AB,AB_pred
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,0.6339042620834094,1.8843809
0.5,5,0.04,-1.3293848671468107,-0.3326905960458789,1.8325814637483104,0.0,6.214608098422191,0.0,-0.5700685422425265,0.56572574
0.5,10,0.08,-3.23907853218572,-1.642911969291817,3.218875824868201,0.0,6.214608098422191,-1.6094379124341005,0.1230786383174188,1.1297802
0.1,10,0.04,-3.580563310630477,-1.9834043534828936,1.6094379124341005,0.0,6.214608098422191,-1.6094379124341005,-0.5700685422425265,0.56565493
0.5,10,0.04,-3.1172221711417007,-1.4566824912419123,3.218875824868201,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,1.4162986
0.2,10,0.04,-3.207441447242537,-1.5701402791623242,2.302585092994046,1.6094379124341005,6.907755278982138,0.0,0.3462221896316285,1.4133594
0.1,20,0.04,-4.300630996469888,-2.0150330289929967,2.9957322735539913,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,1.4158998
0.2,20,0.04,-3.39203944387739,-1.1507733278583585,3.688879454113936,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,1.4154646
0.5,20,0.08,-3.654284809349437,-1.4118337321089889,4.605170185988092,1.6094379124341005,6.907755278982138,-2.302585092994045,1.0393693701915738,2.8275628
0.5,10,0.04,-3.8912404662456175,-2.195705731366949,3.218875824868201,2.302585092994046,6.907755278982138,-1.6094379124341005,0.6339042620834094,1.8859357
0.2,10,0.04,-4.250296863995986,-2.533005053279032,2.302585092994046,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,1.4146552
0.2,15,0.04,-3.3991993789994823,-1.390945159335318,3.1135153092103742,2.302585092994046,6.907755278982138,0.0,0.6339042620834094,1.8917496
0.1,10,0.04,-4.781907364488145,-2.956973205403907,1.6094379124341005,1.6094379124341005,6.907755278982138,-1.6094379124341005,0.3462221896316285,1.413001
0.5,10,0.04,-3.1172221711417007,-1.4566824912419123,3.218875824868201,1.6094379124341005,6.907755278982138,-2.302585092994045,0.3462221896316285,1.4140595
0.5,20,0.04,-3.2253970418584665,-0.9098813161334164,4.605170185988092,2.302585092994046,6.907755278982138,-1.6094379124341005,0.6339042620834094,1.8861755
0.2,10,0.04,-3.3049785239216125,-1.6577252030656269,2.302585092994046,1.6094379124341005,7.824046010856294,0.0,1.0393693701915738,2.8281298
0.2,15,0.04,-3.776618368421943,-1.72912275538008,3.1135153092103742,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.827619
0.2,10,0.04,-4.072191757580967,-2.3619105590788605,2.302585092994046,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.8193974
0.5,10,0.04,-3.302257433807252,-1.6185997542264867,3.218875824868201,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.825327
0.5,15,0.08,-3.993233060853689,-1.9250257541395899,4.0298060410845284,1.6094379124341005,7.824046010856294,-2.302585092994045,1.7325165507515192,5.656118
0.2,15,0.04,-4.135166556742356,-2.0571948447331083,3.1135153092103742,1.6094379124341005,7.824046010856294,-1.6094379124341005,1.0393693701915738,2.8248177
0.5,5,0.04,-4.083998270167957,-2.905233650746888,1.8325814637483104,1.6094379124341005,7.824046010856294,-1.6094379124341005,1.0393693701915738,2.833464
0.5,10,0.04,-3.302257433807252,-1.6185997542264867,3.218875824868201,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.8317256
0.2,10,0.04,-3.3049785239216125,-1.6577252030656269,2.302585092994046,1.6094379124341005,7.824046010856294,0.0,1.0393693701915738,2.8288565
0.2,15,0.04,-3.776618368421943,-1.72912275538008,3.1135153092103742,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.8267899
0.1,15,0.04,-4.336670932953084,-2.277151291737236,2.4203681286504293,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,2.8267105
