m,v,d,tt,tp,ike,cu,e,lambda,cu_pred
0.1,15,0.04,-3.615628992374344,-1.6707602776168318,2.4203681286504293,1.6094379124341005,7.824046010856294,0.0,2.165381
0.2,10,0.04,-3.3049785239216125,-1.6577252030656269,2.302585092994046,1.6094379124341005,7.824046010856294,0.0,4.7771473
0.2,20,0.08,-3.624590964231574,-1.5763900583879,3.688879454113936,1.6094379124341005,7.824046010856294,0.0,10.29896
0.5,15,0.04,-2.8231244089476752,-0.7873963234630617,4.0298060410845284,2.302585092994046,8.517193191416238,0.0,1.9921144
0.5,20,0.08,-3.6321211202953267,-1.3966841485199435,4.605170185988092,2.302585092994046,8.517193191416238,0.0,4.1879506
0.2,15,0.04,-4.377238117942085,-2.29188256986091,3.1135153092103742,3.218875824868201,9.433483923290392,0.0,13.295067
0.2,20,0.04,-4.198372632646149,-1.8521211256229266,3.688879454113936,3.218875824868201,9.433483923290392,0.0,12.491599
0.5,15,0.04,-3.6496587409606547,-1.5598290358820843,4.0298060410845284,3.218875824868201,9.433483923290392,0.0,3.771652
0.1,5,0.04,-3.4088264088266467,-2.445993676289402,0.22314355131420974,0.0,4.605170185988092,-2.302585092994045,3.7406693
0.5,5,0.04,-1.7610750870970602,-0.8173779583015125,1.8325814637483104,0.0,4.605170185988092,-2.302585092994045,2.3232381
0.5,10,0.08,-2.596687733248749,-1.1387345280740917,3.218875824868201,0.0,4.605170185988092,-2.302585092994045,1.8631206
0.1,15,0.04,-4.022954566135428,-2.0286267617620752,2.4203681286504293,1.6094379124341005,6.214608098422191,-2.302585092994045,3.5571673
0.2,10,0.04,-3.756730121022111,-2.093102428137718,2.302585092994046,1.6094379124341005,6.214608098422191,-2.302585092994045,7.102942
0.2,15,0.04,-3.402197881995739,-1.4176611968693906,3.1135153092103742,1.6094379124341005,6.214608098422191,-2.302585092994045,3.076114
0.2,20,0.04,-3.1864086347306992,-0.9921679605472518,3.688879454113936,1.6094379124341005,6.214608098422191,-2.302585092994045,2.5646534
0.5,5,0.04,-3.486755270023802,-2.442215044080437,1.8325814637483104,1.6094379124341005,6.214608098422191,-2.302585092994045,9.627827
0.5,10,0.04,-3.597942459121834,-1.9139542222140475,3.218875824868201,2.302585092994046,6.907755278982138,-2.302585092994045,10.66451
0.5,15,0.04,-3.2289261607217012,-1.1893995124764754,4.0298060410845284,2.302585092994046,6.907755278982138,-2.302585092994045,2.6212137
0.5,20,0.04,-2.9454194596804015,-0.6496127081363274,4.605170185988092,2.302585092994046,6.907755278982138,-2.302585092994045,2.3921454
0.5,10,0.04,-4.399783356263142,-2.6257147391841817,3.218875824868201,3.218875824868201,7.824046010856294,-2.302585092994045,34.119175
