m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,exp(cu)
0.2,15,0.04,-4.2308518069,-2.1525457101,3.1135153092,2.302585093,7.6009024595,-2.302585093,1.0393693702,5.2983173665,10.914502,
0.5,15,0.04,-2.697703909,-0.6736975567,4.0298060411,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,10.150634,
0.2,10,0.04,-3.6953000219,-2.0228646302,2.302585093,2.302585093,6.907755279,0,0.6339042621,4.605170186,9.791336,
0.2,15,0.04,-3.5240432117,-1.4972169833,3.1135153092,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,9.643021,
0.2,15,0.04,-3.399199379,-1.3909451593,3.1135153092,2.302585093,6.907755279,0,0.6339042621,4.605170186,9.808734,
0.1,15,0.04,-5.2103064892,-2.9789931575,2.4203681287,2.302585093,8.5171931914,-1.6094379124,1.7325165508,6.2146080984,10.1261425,
0.2,10,0.04,-4.8848840888,-3.023884865,2.302585093,2.302585093,8.5171931914,-1.6094379124,1.7325165508,6.2146080984,10.265608,
0.5,10,0.04,-3.8912404662,-2.1957057314,3.2188758249,2.302585093,6.907755279,-1.6094379124,0.6339042621,4.605170186,10.760819,
0.2,15,0.04,-4.2308518069,-2.1525457101,3.1135153092,2.302585093,7.6009024595,-2.302585093,1.0393693702,5.2983173665,10.914502,
0.5,10,0.04,-3.5979424591,-1.9139542222,3.2188758249,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,10.096625,
0.5,15,0.04,-3.5206568217,-1.4647489971,4.0298060411,2.302585093,6.907755279,-1.6094379124,0.6339042621,4.605170186,10.248447,
0.2,20,0.04,-4.9476604949,-2.5554664626,3.6888794541,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,25.138313,
0.2,15,0.04,-5.0146433155,-2.8031304074,3.1135153092,3.2188758249,8.5171931914,-2.302585093,1.9556601021,5.2983173665,24.653,
0.5,20,0.04,-4.1477453389,-1.7904563187,4.605170186,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,24.437372,
0.5,10,0.04,-4.5300627135,-2.7261327087,3.2188758249,3.2188758249,8.5171931914,-2.302585093,1.9556601021,5.2983173665,24.489952,
