m,v,d,tt,tp,ike,cu,e,lambda,AB,AB_pred
0.1,5,0.04,-3.5906644066169813,-2.5699417989845807,0.22314355131420976,0.0,5.298317366548036,-2.3025850929940455,-1.2632157228024719,0.28275853
0.2,20,0.04,-4.330573353084966,-1.9882416155887739,3.6888794541139363,2.302585092994046,7.600902459542082,-1.6094379124341003,1.0393693701915738,2.8261955
0.2,15,0.04,-3.524043211661001,-1.4972169833196347,3.1135153092103742,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,2.825945
0.2,10,0.04,-3.7942399697717626,-2.1159727547829346,2.302585092994046,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,2.8221607
0.5,15,0.04,-3.776618368421943,-1.698990697886413,4.029806041084529,2.302585092994046,7.600902459542082,-1.6094379124341003,1.0393693701915738,2.8339503
0.2,10,0.04,-4.806063128367481,-2.955204722377923,2.302585092994046,2.302585092994046,7.600902459542082,-1.6094379124341003,1.0393693701915738,2.824552
0.2,15,0.04,-4.230851806876764,-2.152545710120815,3.1135153092103742,2.302585092994046,7.600902459542082,-2.3025850929940455,1.0393693701915738,2.827471
0.2,20,0.04,-3.339349978336075,-1.09618324119405,3.6888794541139363,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,2.829286
0.2,15,0.04,-4.230851806876764,-2.152545710120815,3.1135153092103742,2.302585092994046,7.600902459542082,-2.3025850929940455,1.0393693701915738,2.831732
0.5,15,0.04,-2.697703909048066,-0.673697556738632,4.029806041084529,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,2.8260295
0.5,20,0.04,-3.172469452054045,-0.8612061335706027,4.605170185988092,2.302585092994046,7.600902459542082,-2.3025850929940455,1.0393693701915738,2.8235614
0.1,15,0.04,-4.081625789814326,-2.048004892047382,2.4203681286504293,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,2.8234253
0.2,15,0.04,-5.014643315493794,-2.8031304073524796,3.1135153092103742,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.0679026
0.2,20,0.04,-4.108037889354104,-1.7506098483831658,3.6888794541139363,3.2188758248682006,8.517193191416238,0.0,1.955660102065729,7.0628324
0.5,10,0.04,-4.530062713501286,-2.7261327086529756,3.2188758248682006,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.0603323
0.5,15,0.04,-4.260163046917041,-2.146573288990452,4.029806041084529,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.0677323
0.5,15,0.04,-4.260163046917041,-2.146573288990452,4.029806041084529,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.0683813
0.2,15,0.04,-4.294748626566821,-2.1941253847985465,3.1135153092103742,3.2188758248682006,8.517193191416238,0.0,1.955660102065729,7.0699234
0.5,15,0.04,-4.587330267859761,-2.439688572215871,4.029806041084529,3.2188758248682006,8.517193191416238,-1.6094379124341003,1.955660102065729,7.071062
0.2,15,0.04,-5.014643315493794,-2.8031304073524796,3.1135153092103742,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.066728
0.5,10,0.04,-4.530062713501286,-2.7261327086529756,3.2188758248682006,3.2188758248682006,8.517193191416238,-2.3025850929940455,1.955660102065729,7.0656576
0.5,15,0.04,-3.6163727633271883,-1.5324583529509193,4.029806041084529,2.302585092994046,8.517193191416238,-2.3025850929940455,1.7325165507515192,5.655341
0.5,15,0.04,-2.8231244089476752,-0.7873963234630617,4.029806041084529,2.302585092994046,8.517193191416238,0.0,1.7325165507515192,5.6494775
0.2,15,0.04,-4.377238117942085,-2.29188256986091,3.1135153092103742,3.2188758248682006,9.433483923290392,0.0,2.648807282625674,14.128649
0.5,15,0.04,-4.7239537219780585,-2.5666027235182276,4.029806041084529,3.2188758248682006,9.433483923290392,-1.6094379124341003,2.648807282625674,14.132095
0.2,15,0.04,-5.339139361068292,-3.0708869471547513,3.1135153092103742,3.2188758248682006,9.433483923290392,-1.6094379124341003,2.648807282625674,14.139813
0.5,10,0.04,-4.898199864766467,-3.016261564806484,3.2188758248682006,3.2188758248682006,9.433483923290392,-1.6094379124341003,2.648807282625674,14.141516
0.2,15,0.04,-5.14645501723879,-2.8853364563316255,3.1135153092103742,3.2188758248682006,9.433483923290392,-2.3025850929940455,2.648807282625674,14.134727
0.5,10,0.04,-4.658570962715206,-2.8105481511465595,3.2188758248682006,3.2188758248682006,9.433483923290392,-2.3025850929940455,2.648807282625674,14.127672
0.5,10,0.04,-3.904054835778969,-2.1904714312435876,3.2188758248682006,3.2188758248682006,9.433483923290392,0.0,2.648807282625674,14.099518
0.5,15,0.04,-3.649658740960655,-1.5598290358820845,4.029806041084529,3.2188758248682006,9.433483923290392,0.0,2.648807282625674,14.115313
0.2,20,0.04,-4.958992060944417,-2.524679195172684,3.6888794541139363,3.2188758248682006,9.433483923290392,-2.3025850929940455,2.648807282625674,14.130865
0.5,10,0.04,-4.658570962715206,-2.8105481511465595,3.2188758248682006,3.2188758248682006,9.433483923290392,-2.3025850929940455,2.648807282625674,14.149546
0.5,10,0.04,-4.658570962715206,-2.8105481511465595,3.2188758248682006,3.2188758248682006,9.433483923290392,-2.3025850929940455,2.648807282625674,14.145448
