m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,e_pred
0.5,10,0.04,-3.302257433807252,-1.6185997542264867,3.218875824868201,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,6.214608098422191,2500.6775
0.5,10,0.04,-4.688551794927141,-2.8481401972811335,3.218875824868201,3.218875824868201,7.824046010856294,-1.6094379124341005,1.5501949939575643,4.605170185988092,2502.264
0.2,15,0.04,-4.876978909283582,-2.7118775159365973,3.1135153092103742,3.218875824868201,7.824046010856294,-2.302585092994045,1.5501949939575643,4.605170185988092,2499.358
0.5,5,0.04,-3.711534144678743,-2.6383935499657216,1.8325814637483104,1.6094379124341005,7.824046010856294,-2.302585092994045,1.0393693701915738,6.214608098422191,2498.7917
0.5,15,0.08,-4.3614400010654935,-2.1877575315633067,4.0298060410845284,1.6094379124341005,7.824046010856294,-1.6094379124341005,1.7325165507515192,6.214608098422191,2499.4114
0.5,10,0.08,-3.061872076058536,-1.49793231651656,3.218875824868201,0.0,5.298317366548036,-1.6094379124341005,-0.5700685422425265,5.298317366548036,200.05342
0.5,15,0.08,-2.815078773860733,-1.0171724036554095,4.0298060410845284,0.0,5.298317366548036,-1.6094379124341005,-0.5700685422425265,5.298317366548036,200.01698
0.5,15,0.08,-2.815078773860733,-1.0171724036554095,4.0298060410845284,0.0,5.298317366548036,-1.6094379124341005,-0.5700685422425265,5.298317366548036,200.31049
0.2,5,0.04,-3.315937537711332,-2.3230327282631507,0.9162907318741552,0.0,5.298317366548036,-1.6094379124341005,-1.263215722802472,5.298317366548036,200.30542
0.1,15,0.08,-3.897134392934396,-2.113751452584868,2.4203681286504293,0.0,5.298317366548036,-1.6094379124341005,-0.5700685422425265,5.298317366548036,200.35834
0.2,5,0.04,-2.1876505549019463,-1.2718092019295246,0.9162907318741552,0.0,5.298317366548036,0.0,-1.263215722802472,5.298317366548036,200.00612
0.1,5,0.04,-3.963316299815697,-2.840507884644404,0.22314355131420974,0.0,5.298317366548036,-1.6094379124341005,-1.263215722802472,5.298317366548036,199.98438
0.1,10,0.04,-3.080419081721185,-1.5837896590529048,1.6094379124341005,0.0,5.298317366548036,-2.302585092994045,-1.263215722802472,5.298317366548036,200.06888
0.2,10,0.08,-3.379044577021022,-1.923272329032814,2.302585092994046,0.0,5.298317366548036,-2.302585092994045,-0.5700685422425265,5.298317366548036,200.19838
0.1,10,0.04,-3.080419081721185,-1.5837896590529048,1.6094379124341005,0.0,5.298317366548036,-2.302585092994045,-1.263215722802472,5.298317366548036,199.9942
0.1,15,0.08,-3.5439136838637513,-1.8920130475177368,2.4203681286504293,0.0,5.298317366548036,-2.302585092994045,-0.5700685422425265,5.298317366548036,200.05582
0.5,20,0.08,-4.260163046917041,-1.906874068330165,4.605170185988092,2.302585092994046,7.600902459542082,-2.302585092994045,1.7325165507515192,5.298317366548036,2000.2625
0.5,20,0.04,-3.1724694520540453,-0.8612061335706027,4.605170185988092,2.302585092994046,7.600902459542082,-2.302585092994045,1.0393693701915738,5.298317366548036,1999.961
0.2,10,0.04,-4.806063128367481,-2.955204722377923,2.302585092994046,2.302585092994046,7.600902459542082,-1.6094379124341005,1.0393693701915738,5.298317366548036,1998.5674
0.1,20,0.04,-3.9190476203651103,-1.6883079745918854,2.9957322735539913,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1999.264
0.5,15,0.04,-2.6977039090480663,-0.6736975567386321,4.0298060410845284,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,2000.2472
0.2,20,0.04,-3.339349978336075,-1.09618324119405,3.688879454113936,2.302585092994046,7.600902459542082,0.0,1.0393693701915738,5.298317366548036,1999.512
